Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
chd1	usp39	1	0	4.78	0.09	3.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b4	rbm10598f	4	1.13	4.78	0.09	10	0	1.56	6.78	0	4	0	4.4	0	0	0	0			N/A	N/A	N/A							
srrm4	mrps31	6	1.17	4.78	9.27	166.82	0	0	0	0	1	5.2	0.4	0	0	0	0			N/A	N/A	N/A							
snip1	larp4	1	0.78	4.77	8.64	18.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ckap2	lsm7	1	0.76	4.77	2	13.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps11	vapa	2	0.82	4.77	3.18	7.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl34	snw1	3	0.8	4.77	6.91	47.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	lsm14b	1	0.73	4.77	0	13.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	rps2	2	0.7	4.77	19.55	197.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx3x	rbm15	2	0.7	4.77	0.36	11.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			neg	0.9	0.12							
srsf4	mrpl41	1	0.8	4.77	0	3.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm47	aspm	2	0.78	4.77	2.73	8.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bud31	snrpa	1	0.82	4.77	1.64	3.27	0	0	0	0	1	11.2	0.4	0	0	0	0			N/A	N/A	N/A							
srsf2	lin7a	1	0.81	4.77	8.36	25.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	eif2s1	1	0	4.77	0.55	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpb	tsr1	1	0.78	4.77	1	10.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	morf4l1	1	0.71	4.77	1.91	8.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif19a_cter	dmrtb1	1	0.74	4.77	2.18	3.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prr3	magoh	2	0.78	4.77	29.82	25.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc7	rbm10316f	4	0.81	4.77	3.27	16.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nmt1	rbfox2_gt	1	0.79	4.77	2.18	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps3	srsf8	1	0.64	4.77	0.18	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppig	rbm28	1	0.76	4.77	0	3.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps26	fam103a1	1	0	4.77	0	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zmat5	pef1	1	0.71	4.77	6.09	3.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
utp14a	pcm1	2	0.76	4.77	1.27	7.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
supv3l1	rbpms	1	0	4.77	3.36	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ccdc9	ube2i	2	0.66	4.77	6.27	6.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nat10	cstf2t	2	0	4.77	0	2	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3hav1	hjurp	2	1.3	4.77	3	25.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	maz	1	0.75	4.76	0.73	3.82	0	0	0	0	0	2	0	0	0	0	0			N/A	N/A	N/A							
rtn4	qk	2	0.76	4.76	0.73	14.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc8	rps6	2	0.68	4.76	0.55	7.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	rbm22	4	0.55	4.76	1.18	11.55	0	0.62	1.84	0	4	1	4	0	0	0	0			N/A	N/A	N/A							
znf830	rbm10784l	1	0.74	4.76	0.09	12.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl3	tfip11	1	0.78	4.76	0	3.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
map7	srsf8	1	0.84	4.76	0.73	10.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	farsa	1	0.74	4.76	0	5.55	0	0	0	0	0	1.2	0	0	0	0	0			N/A	N/A	N/A							
ddx17	kif18b	1	0.73	4.76	2.36	5.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpk	surf6	1	0	4.76	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	ssrp1	2	0	4.76	0	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
morf4l1	snrpa	1	0.83	4.76	4.45	3.27	0	0	0	0	0	18	0	0	0	0	0			N/A	N/A	N/A							
pfn1	snrpa	1	0	4.76	0	1.82	0	0	0	0	1	2	0.4	0	0	0	0			N/A	N/A	N/A							
nusap1	mrpl41	1	0.76	4.76	33.73	5.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tarbp2	fndc3b	2	0.81	4.76	0.45	42.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
grn	rpn1	1	0.78	4.76	2.55	16.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pabpc5	srsf8	2	0.87	4.76	0	3.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp1	kif1c	1	0	4.76	0	3.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbmx	cd2bp2	1	0.83	4.76	2.09	8.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpp30	tfip11	1	0	4.76	0	3.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
chd2	dennd2d	1	0.76	4.76	3.73	30.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
isy1	clk1	1	0.74	4.76	3.18	13	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srp68	mapre3	1	0.73	4.76	3.36	2.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zmat5	sf3a3	3	0.66	4.76	18.27	16.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx20	ganab	1	0.72	4.76	0.91	16	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbms2	prrc2b	1	0.78	4.76	0.36	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrps5	rprd1b	1	0.73	4.76	4.82	12	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hook1	patl1	1	0.75	4.76	1.91	14.09	0	0	0	0	3	13.6	2.2	0	0	0	0			N/A	N/A	N/A							
snrpf	sfswap	1	0.75	4.76	0.73	17.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl39	rpl7a	1	0.78	4.76	4.45	16.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf2	prkra	1	0	4.76	1.73	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pabpc5	pspc1	1	0	4.76	0	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl35	larp1b	1	0.79	4.76	2	8.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sfpq	hsd17b10	2	0.74	4.75	1.73	41.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tdrd9	rpl21	1	0	4.75	0.64	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptcd3	celf1	1	0	4.75	0.09	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tdrd9	tnrc6a	1	0.72	4.75	4.73	42.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm19	rbpms	1	0	4.75	3.09	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	nol7	1	0.77	4.75	1.18	13.18	0	0	0	0	0	10.2	0	0	0	0	0			N/A	N/A	N/A							
kif17v1	rbm14	1	0	4.75	0	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cstf2t	dynlt1c	1	0	4.75	0	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbbp7	acaa2	1	0.74	4.75	1	14.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zmat5	alg13	4	1.26	4.75	17.64	32.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
patl1	rbm22	2	0.64	4.75	2.64	6.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prkra	qki	2	0.79	4.75	1.27	5.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps15	trak2	1	0.67	4.75	2	19.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	hspd1	1	0.71	4.75	0.91	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prdx2	cd2bp2	2	0.8	4.75	0.09	10.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snw1	rpl36	1	0.72	4.75	0.55	4	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nop56	exosc8	1	0	4.75	0	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4a1	gtse1	2	0.68	4.75	4.18	57.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	utp14a	1	0.72	4.75	0.36	7.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trak1	larp4	4	0.79	4.75	6.73	26.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
fam98a	tfip11	2	0.74	4.75	0.45	5.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dennd5a	sf1	1	0.73	4.75	0.09	2.55	0	0	0	0	0	2.2	0	0	0	0	0			N/A	N/A	N/A							
sart3	hnrnpll	1	0	4.75	0.45	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lin28a	rbmx	1	0.71	4.74	0	4.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nop56	ddx17	1	0.73	4.74	3.36	4.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
elavl2	rbms2	1	0	4.74	0	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl3	mreg	1	0	4.74	1.27	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4a3	ddx19a	1	0.77	4.74	0.36	5.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps6	cask	1	0.78	4.74	0.73	19.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
os9	dmrtb1	7	0.68	4.74	1.82	40.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tra2b	rbm25	1	0.76	4.74	4.18	24.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	kif16b_cter	2	0	4.74	0	2.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ctbp1	hnrpdl	1	0	4.74	0	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
larp4b	nhp2	1	0.7	4.74	3.18	37.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
c16orf80	srsf8	1	0.74	4.74	3.91	7.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kat5	lin28b	1	0	4.74	0.55	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf7	ehmt2	2	1.3	4.74	0.55	30.27	0	2.47	2.93	0	5	12.2	11	0	0	0	0			N/A	N/A	N/A							
gspt2	rpl35a	1	0.64	4.74	1.91	3.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lsm5	nufip2	3	1.24	4.74	3.55	9.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zcchc17	srrm4	1	0.79	4.74	0.91	8.36	0	0	0	0	0	3.2	0	0	0	0	0			N/A	N/A	N/A							
tagln2	unr	1	0	4.74	0.18	0.73	0	0	0	0	0	9.2	0	0	0	0	0			N/A	N/A	N/A							
pqbp1	srrm3	2	0.64	4.74	2.45	3.09	0	0	0	0	3	32.8	1	0	0	0	0			N/A	N/A	N/A							
bud31	rps27l	1	0.7	4.74	1	3.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	rpl17	3	0	4.74	0	2.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
noa1	cpsf7	3	1.24	4.74	9	17.09	0	0	0	0	2	6.6	0.4	0	0	0	0			N/A	N/A	N/A							
chtop	apobec3c	2	0.82	4.74	3.82	7.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
emicsrrm4	dmrtb1	6	1.43	4.74	1.27	46	0	0	0	0	1	7.6	0.6	0	0	0	0			N/A	N/A	N/A							
clk1	parp12	1	0.65	4.74	0	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	pcnp	1	0.68	4.74	0.45	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
atp5b	kars	1	0.75	4.74	5.82	11.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mbnl1	krt31	1	0	4.74	0.27	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trmt1	rbm14	1	0	4.73	0	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm7	yars2	2	0.8	4.73	9.27	22	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kpna2	cstf2t	1	0	4.73	0.36	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rnmt	nol7	1	0.76	4.73	3.18	16.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl10	wbp11	1	0.76	4.73	1.45	19.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
unkl	mkrn1	2	1.3	4.73	3.82	23.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dbr1	chtop	1	0.86	4.73	2.73	4.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
topbp1	rbm10776q	1	0.73	4.73	0.36	5.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps15a	hnrpll	1	0.78	4.73	5	35.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srek1	snrpg	1	0.83	4.73	0.64	16.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl30	cpsf6	1	0	4.73	0	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpb	hnrnpa0	2	0	4.73	0.27	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hdac1	dmrtb1	2	0.72	4.73	2.36	7	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf7	syt4_38_stop	2	0.88	4.73	1	18.45	0	0	0	0	0	4	0	0	0	0	0			N/A	N/A	N/A							
sfswap	dync1h1	1	0.76	4.73	2.27	7.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpp30	dmrtb1	1	0.72	4.73	0.91	6	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sumo2	myo1d	1	0.75	4.73	1.45	11.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cxorf56	fez2	6	1.11	4.73	6.91	53.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl7a	dut	1	0	4.73	0.64	2.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
a1cf	cd2bp2	2	0.8	4.73	0.82	9	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ruvbl1	fam98a	1	0	4.73	0.45	3.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pdia3	ppil4	1	0.66	4.73	5.73	17.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps2	ppil3	1	0.73	4.73	5.73	28	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
usp10	ccl14	1	0	4.72	0.55	2.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trnau1ap	dimt1	3	0.74	4.72	3.36	39.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps26	g3bp1	1	0.75	4.72	1.73	3.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl3	sub1	1	0	4.72	0	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mfap1	rpl9	1	0.81	4.72	12.36	22.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf3	rps4x	1	0.7	4.72	5.09	34.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	prdx2	1	0.8	4.72	18	49.36	0	0	0	0	2	37.8	1.6	0	0	0	0			N/A	N/A	N/A							
usp39	ddx21	1	0	4.72	2.55	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	rpl23a	3	0.7	4.72	0.09	6.45	0	0	0	0	0	4	0	0	0	0	0			N/A	N/A	N/A							
pcbp1	fau	1	0	4.72	0	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl14	srsf3	1	0	4.72	0.73	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nosip	krt31	1	0	4.72	0.09	2.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	kif11_cter	1	0	4.72	0.09	2.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
thumpd1	cirbp	1	0	4.72	2.18	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bicd2	hist1h1e	1	0.74	4.72	1.18	4.36	0	0	0	0	0	5	0	0	0	0	0			N/A	N/A	N/A							
rab6a	mecp2	1	0	4.72	0	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrps27	krt31	1	0.74	4.72	0.82	4.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl36	cpsf6	1	0	4.72	0	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_gt	esrp1	1	0.81	4.72	4.82	12	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sfpq	rbm5	1	0.72	4.72	5.09	23.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eral1	qki	1	0.73	4.72	0.82	8.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	ilf2	1	0.71	4.72	1.45	10.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif3c	prpf31	1	0.73	4.72	5.27	46.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
khdrbs3	cirbp	4	0	4.72	0.27	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hist1h1e	nudt21	1	0.66	4.72	0	11.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
noa1	myo5a_cter	1	0	4.72	0.18	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf39	rps7	2	0.8	4.72	4.91	7.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif2c2	qk	5	1.11	4.72	7.09	11.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	apobec3g	2	0.64	4.72	0	2.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
utp18	tfip11	3	1.16	4.72	0.18	9.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
arpc1b	myo1c	1	0.64	4.72	0	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	1	0			N/A	N/A	N/A							
rps21	a1cf	3	1.56	4.72	7	56.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc7	pef1	2	0	4.72	0.64	6.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpr	syf2	1	0.76	4.71	0.27	13.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
unkl	pspc1	1	0	4.71	0.82	2.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snip1	srsf11	1	0.67	4.71	3.82	2.73	0	0	0	0	0	13	0	0	0	0	0			N/A	N/A	N/A							
snrpd1	pcbp1	2	0	4.71	1.09	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sfswap	zadh2	3	0.76	4.71	4	24.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppil3	rps24	1	0.8	4.71	5.27	21.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	dimt1	1	0.69	4.71	5	17.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
unkl	ehmt2	1	0.82	4.71	2.91	12.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
msi2	emg1	1	0.81	4.71	2.36	36.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
magoh	csrp1	1	0.77	4.71	1.55	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	eif3g	2	0	4.71	0.09	3.09	0	1.12	3.84	0	5	0.4	3.4	0	0	0	0			pos	3.86	3.23							
srsf1	larp1b	1	0.7	4.71	0	11.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	dennd1a	2	0.78	4.71	9.27	48.82	0	0	0	0	0	24.8	0	0	0	0	0			N/A	N/A	N/A							
pnkp	calr	1	0.79	4.71	0.18	6.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
x2700060e02rik	luc7l2	2	0.76	4.71	0.27	16.45	0	0	0	0	0	3.2	0	0	0	0	0			N/A	N/A	N/A							
dynlt1c	mapre3	2	0.65	4.71	0	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
